순위,대학교,2023,2022
1,서울대,29,36
2,카이스트,42,41
3,포항공대,71,81
4,연세대,73,79
5,고려대,74,74
6,성균관대,99,97
7,한양대,157,156
8,울산과기대,197,212
9,경희대,270,264
10,광주과기대,288,305
11,이화여대,346,362
12,중앙대,392,414
13,한국외대,410,445
14,서강대,457,494
15,동국대,481,494
16,아주대,488,531~540
17,가톨릭대,494,482
18,경북대,501~510,541~550
19,인하대,531~540,561~570
20,전북대,551~560,571~580
20,세종대,551~560,601~650
22,울산대,561~570,541~550
23,한림대,571~580,561~570
24,성신여대,591~600,순위X
25,부산대,601~650,601~650
26,건국대,651~700,601~650
27,전남대,751~800,751~800
27,충남대,751~800,751~800
27,단국대,751~800,751~800
30,서울시립대,801~1000,801~1000
30,영남대,801~1000,801~1000
32,충북대,1001~1200,1001~1200
32,제주대,1001~1200,1001~1200
32,강원대,1001~1200,1001~1200
32,국민대,1001~1200,1001~1200
32,서울과기대,1001~1200,1001~1200
32,숙명여대,1001~1200,1001~1200
32,홍익대,1001~1200,1200+
39,부경대,1201~1400,1001~1200
39,숭실대,1201~1400,순위X
39,영산대,1201~1400,1001~12
