"시점",출생아수 (천명),합계출산율
"1970",1007,4.53
"1971",1025,4.54
"1972",953,4.12
"1973",966,4.07
"1974",923,3.77
"1975",874,3.43
"1976",796,3.00
"1977",825,2.99
"1978",751,2.64
"1979",863,2.90
"1980",863,2.82
"1981",867,2.57
"1982",848,2.39
"1983",769,2.06
"1984",675,1.74
"1985",655,1.66
"1986",636,1.58
"1987",624,1.53
"1988",633,1.55
"1989",639,1.56
"1990",650,1.57
"1991",709,1.71
"1992",731,1.76
"1993",716,1.65
"1994",721,1.66
"1995",715,1.63
"1996",691,1.57
"1997",675,1.54
"1998",642,1.46
"1999",621,1.43
"2000",640,1.48
"2001",560,1.31
"2002",497,1.18
"2003",495,1.19
"2004",477,1.16
"2005",439,1.09
"2006",452,1.13
"2007",497,1.26
"2008",466,1.19
"2009",445,1.15
"2010",470,1.23
"2011",471,1.24
"2012",485,1.30
"2013",436,1.19
"2014",435,1.21
"2015",438,1.24
"2016",406,1.17
"2017",358,1.05
"2018",327,0.98
"2019",303,0.92
"2020",272,0.84
"2021",261,0.82
"2022",246,0.77
"2023",233,0.73
"2024",234,0.70
"2025",248,0.74
"2026",261,0.78
"2027",274,0.83
"2028",286,0.87
"2029",296,0.91
"2030",305,0.96
"2031",313,1.00
"2032",318,1.04
"2033",323,1.09
"2034",326,1.13
"2035",323,1.18
"2036",314,1.18
"2037",305,1.18
"2038",298,1.18
"2039",291,1.19
"2040",286,1.19
"2041",282,1.19
"2042",279,1.20
"2043",276,1.20
"2044",273,1.20
"2045",269,1.20
"2046",265,1.21
"2047",259,1.21
"2048",252,1.21
"2049",244,1.21
"2050",236,1.21
"2051",227,1.21
"2052",217,1.21
"2053",209,1.21
"2054",200,1.21
"2055",193,1.21
"2056",188,1.21
"2057",184,1.21
"2058",181,1.21
"2059",180,1.21
"2060",181,1.21
"2061",183,1.21
"2062",185,1.21
"2063",188,1.21
"2064",190,1.21
"2065",193,1.21
"2066",195,1.21
"2067",196,1.21
"2068",197,1.21
"2069",197,1.21
"2070",196,1.21
